case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_00007,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,5,0,0,5,105.19802,2.875248,20506.819914,6296.383141,GROWTH,4693.290594,109.0
CASE_00011,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,101.011647,5.083106,15883.958016,6039.523222,GROWTH,2152.119889,109.0
CASE_00012,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,19.934556,0.007783,13976.203924,4123.771814,BREAKDOWN,772.610153,18.221187
CASE_00021,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,15.102999,-2.747324,8005.353532,3977.292774,BREAKDOWN,1218.626544,17.252105
CASE_00027,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,61.082815,3.041407,5074.863759,2754.041118,GROWTH,2843.469876,77.148381
CASE_00029,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,1,1,0,17.495362,-2.779222,5799.118425,3447.916924,BREAKDOWN,4100.692596,14.291149
CASE_00032,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,15.835617,-1.865145,10499.988129,3984.348761,BREAKDOWN,2824.421056,19.074242
CASE_00037,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,75.941176,9.764705,6089.645296,2714.479084,GROWTH,1679.390786,79.0
CASE_00039,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,2,2,0,15.626539,-1.719817,12239.727276,3810.151565,BREAKDOWN,3805.716967,14.590441
CASE_00045,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,1,2,0,15.761667,-2.309403,11626.632215,4351.051884,BREAKDOWN,3668.45003,19.640001
