case_id,zone_mechanical_state,structural_trajectory,trajectory_confidence,coh_label,pred_label,b12v2_outcome,correct,visit_count,breakdown_visit_count,damage_visit_count,growth_visit_count,health_last_visit,health_slope,omega_total,omega_max,visit_N_result,visit_N_omega,visit_N_health
CASE_00028,EXHAUSTED_ZONE,DEGRADING,MEDIUM,MODERATE,FAIL,FAIL,True,2,0,1,0,20.337716,1.016185,14981.562629,7594.685798,BREAKDOWN,9052.439772,18.700193
CASE_00041,ELASTIC_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,64.692308,4.620909,7020.709268,2936.764322,GROWTH,4465.635994,79.0
CASE_00053,RECOVERED_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,110.349148,5.417043,16094.659261,4845.855138,GROWTH,3379.084017,116.0
CASE_00056,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,5,1,3,0,16.839682,-1.20936,26297.109857,6396.048244,BREAKDOWN,6857.499194,13.051945
CASE_00058,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,3,2,1,0,15.386928,-2.143202,19444.451848,7099.089913,BREAKDOWN,7012.596608,19.858535
CASE_00071,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,4,0,0,4,70.378953,4.968655,6888.479676,1777.665391,GROWTH,1859.088315,79.0
CASE_00072,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,65.558182,5.043797,4253.308043,1847.982661,GROWTH,2018.686991,79.0
CASE_00079,EXHAUSTED_ZONE,TERMINAL,MEDIUM,MODERATE,FAIL,FAIL,True,2,2,0,0,16.963982,-1.315088,5083.181989,3411.385402,BREAKDOWN,3043.669289,16.641575
CASE_00105,FATIGUE_ZONE,STRENGTHENING,HIGH,STRONG,HOLD,HOLD,True,3,0,0,3,64.742574,3.064343,4001.940817,1572.429872,GROWTH,1757.755686,78.176341
CASE_00106,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,2,0,12.345569,-2.572496,9922.492638,3114.183877,BREAKDOWN,2782.893403,13.902218
CASE_00107,EXHAUSTED_ZONE,TERMINAL,HIGH,STRONG,FAIL,FAIL,True,4,1,1,0,12.471044,-2.478926,9114.915141,2975.521093,BREAKDOWN,2788.502914,15.923153
CASE_00130,EXHAUSTED_ZONE,DEGRADING,HIGH,STRONG,FAIL,FAIL,True,3,0,3,0,15.190953,-2.032621,14203.695217,4814.583841,BREAKDOWN,4768.285789,20.158679
