metric,value
run_utc,2026-06-06 22:44 UTC
architecture,b12v2_architecture.md
dataset_start,2026-04-30
dataset_end,2026-06-02
total_cases,793
multi_visit_eligible,746
single_visit_excluded,473
visit_N_hold,178
visit_N_fail,136
visit_N_ambiguous,432
hold_pred_from_prior,370
fail_pred_from_prior,287
uncertain_excluded,9
no_prediction_excluded,80
evaluable_population,263
baserate_hold,0.5513
baserate_fail,0.4487
naive_baseline,0.5513
overall_accuracy,0.9848
lift_vs_baseline,0.4335
hold_precision,0.9796
hold_recall,0.9931
hold_f1,0.9863
hold_lift,0.4283
false_holds,3
fail_precision,0.9914
fail_recall,0.9746
fail_f1,0.9829
fail_lift,0.5427
false_fails,1
physics_sigma_x_pen,0.9953
physics_sigma_barre_rcl,0.0776
physics_sigma_barre_mem,0.5332
leakage_status,PASS
integrity_status,PASS
consistency_status,PASS
evaluation_design,penultimate_state_N_minus_1
circular_validation,NONE
zone_mode,density_band
